IRM_NUMBER|ROW_NUMBER|STATUS|REASON
IRM100061|2|PASS|Inserted successfully with ID=fc61d5c0-6664-40c9-9ab0-0add8eb1328e
IRM100062|3|PASS|Inserted successfully with ID=a56ebacc-6743-454e-8069-cc7538cc3462
IRM100063|4|PASS|Inserted successfully with ID=84b7d974-0b7f-4471-a30c-d98bb6c50247
IRM100064|5|PASS|Inserted successfully with ID=05722cf1-e44d-4052-bda7-96587ae320d5
IRM100065|6|PASS|Inserted successfully with ID=b7089cf1-8900-448a-b513-cc2104e04b20
IRM100066|7|PASS|Inserted successfully with ID=f8b8a9ae-9e05-42be-a57d-51675259c431
IRM100067|8|PASS|Inserted successfully with ID=dd7b4a8a-da7b-430a-8592-3463ca287841
IRM100068|9|PASS|Inserted successfully with ID=4f9b64f1-b4b5-4446-aeba-b434002d8cb9
IRM100069|10|PASS|Inserted successfully with ID=af478116-81fb-43e9-b01d-f4c684f0f61e
IRM100070|11|PASS|Inserted successfully with ID=442bbe64-0f8f-42d9-a222-e0910ee4e33d
IRM100071|12|PASS|Inserted successfully with ID=97e0ad47-daeb-4f87-ae7d-2c9984608223
IRM100072|13|PASS|Inserted successfully with ID=add972ed-4752-4712-b578-1b3151cd05c9
IRM100073|14|PASS|Inserted successfully with ID=73aae783-2da3-4cf4-a37d-831956ea0c7a
IRM100074|15|PASS|Inserted successfully with ID=7a7db1bb-a28c-4b0b-a50f-d6d2aa8d06ce
IRM100075|16|PASS|Inserted successfully with ID=210b5310-d0cb-4165-80b5-e85a8ff49b74
IRM100076|17|PASS|Inserted successfully with ID=3bbf4274-1e65-47c6-b7a5-898c1614b4e4
IRM100077|18|PASS|Inserted successfully with ID=fecbd369-ce12-488f-a2c6-02a2c2fc5228
IRM100078|19|PASS|Inserted successfully with ID=6f19a4e3-269b-47ff-a90b-a899e44e32d1
IRM100079|20|PASS|Inserted successfully with ID=3a5f6e5d-3011-41fc-8138-e6b9088e6418
IRM100080|21|PASS|Inserted successfully with ID=4df995e2-9323-4f6a-beff-a433a0d4cf66
---
TOTAL=20 PASS=20 FAIL=0
